web-scraper-order,web-scraper-start-url,phoneBrand,phoneBrand-href,mainSelector,mainSelector-href,phoneName,phoneImage-src
"1692804773-1","https://www.gsmarena.com/","Panasonic","https://www.gsmarena.com/panasonic-phones-6.php","Eluga A3 Pro","https://www.gsmarena.com/panasonic_eluga_a3_pro-8813.php","Panasonic Eluga A3 Pro","https://fdn2.gsmarena.com/vv/bigpic/panasonic-eluga-a3-pro.jpg"
"1692804776-2","https://www.gsmarena.com/","Panasonic","https://www.gsmarena.com/panasonic-phones-6.php","Eluga I2 Activ","https://www.gsmarena.com/panasonic_eluga_i2_activ-8816.php","Panasonic Eluga I2 Activ","https://fdn2.gsmarena.com/vv/bigpic/panasonic-l2-activ.jpg"
"1692804779-3","https://www.gsmarena.com/","Panasonic","https://www.gsmarena.com/panasonic-phones-6.php","P9","https://www.gsmarena.com/panasonic_p9-8851.php","Panasonic P9","https://fdn2.gsmarena.com/vv/bigpic/panasonic-p9.jpg"
"1692804782-4","https://www.gsmarena.com/","Panasonic","https://www.gsmarena.com/panasonic-phones-6.php","Eluga Ray 700","https://www.gsmarena.com/panasonic_eluga_ray_700-8869.php","Panasonic Eluga Ray 700","https://fdn2.gsmarena.com/vv/bigpic/panasonic-eluga-ray-700.jpg"
"1692804785-5","https://www.gsmarena.com/","Panasonic","https://www.gsmarena.com/panasonic-phones-6.php","Eluga Ray 500","https://www.gsmarena.com/panasonic_eluga_ray_500-8870.php","Panasonic Eluga Ray 500","https://fdn2.gsmarena.com/vv/bigpic/panasonic-eluga-ray-500.jpg"
"1692804788-6","https://www.gsmarena.com/","Panasonic","https://www.gsmarena.com/panasonic-phones-6.php","Eluga I4","https://www.gsmarena.com/panasonic_eluga_i4-8875.php","Panasonic Eluga I4","https://fdn2.gsmarena.com/vv/bigpic/panasonic-eluga-i4.jpg"
"1692804791-7","https://www.gsmarena.com/","Panasonic","https://www.gsmarena.com/panasonic-phones-6.php","P99","https://www.gsmarena.com/panasonic_p99-8878.php","Panasonic P99","https://fdn2.gsmarena.com/vv/bigpic/panasonic-p99.jpg"
"1692804794-8","https://www.gsmarena.com/","Panasonic","https://www.gsmarena.com/panasonic-phones-6.php","Eluga A4","https://www.gsmarena.com/panasonic_eluga_a4-8931.php","Panasonic Eluga A4","https://fdn2.gsmarena.com/vv/bigpic/panasonic-eluga-a4.jpg"
"1692804798-9","https://www.gsmarena.com/","Panasonic","https://www.gsmarena.com/panasonic-phones-6.php","Eluga I5","https://www.gsmarena.com/panasonic_eluga_i5-8932.php","Panasonic Eluga I5","https://fdn2.gsmarena.com/vv/bigpic/panasonic-eluga-l5.jpg"
"1692804802-10","https://www.gsmarena.com/","Panasonic","https://www.gsmarena.com/panasonic-phones-6.php","P91","https://www.gsmarena.com/panasonic_p91-8939.php","Panasonic P91","https://fdn2.gsmarena.com/vv/bigpic/panasonic-p91.jpg"
